DATE;INDPRO_PCH;WILL5000PR_PCH;HSN1F_PCH;DCOILBRENTEU_PCH;CORESTICKM159SFRBATL_PCH;TOTALSA_PCH;CPIUFDSL_PCH;DEXJPUS_PCH;MICH_PCH;VIXCLS_PCH;PAYEMS_PCH;PPIACO_PCH
1998-12-01;0.40388;3.70809;-4.62312;-11.00423;-3.39829;8.00968;0.12330;-2.67568;8.69565;-2.83686;0.29318;-0.64725
1999-01-01;0.42240;5.74066;-7.79768;13.13291;-2.24409;-4.68723;0.36946;-3.22959;8.00000;10.03243;0.08307;0.08143
1999-02-01;0.57195;-0.83620;-3.08571;-7.58398;-2.80649;3.03743;0.18405;2.98210;-7.40741;2.80849;0.32419;-0.48820
1999-03-01;0.22080;2.29879;1.76887;21.80507;-3.39892;-1.54998;0.00000;2.40393;8.00000;-12.18857;0.08976;0.24530
1999-04-01;0.22179;4.41763;6.37312;22.24545;-0.48782;0.57628;0.12247;0.25046;0.00000;-7.23439;0.28230;0.81566
1999-05-01;0.61295;0.48958;-3.26797;-0.45269;-3.29086;3.75096;0.18349;1.85955;3.70370;11.61028;0.16719;0.88997
1999-06-01;-0.06723;-0.86754;3.94144;4.18987;-3.85702;-1.24118;-0.06105;-1.04505;-10.71429;-9.83853;0.21582;0.40096
1999-07-01;0.59563;4.28341;-2.49187;20.27852;1.97463;1.97164;0.12217;-1.15475;8.00000;-10.90864;0.25951;0.39936
1999-08-01;0.43546;-4.38384;-0.77778;5.96985;-0.77233;-0.26572;0.18304;-5.11492;3.70370;15.55694;0.11281;0.95465
1999-09-01;-0.41950;-0.42254;-7.50280;11.49478;-1.15011;0.11904;0.24361;-5.60961;-3.57143;0.89539;0.16362;0.86682
1999-10-01;1.28803;-1.32478;5.56901;-2.39896;-1.02021;0.12456;0.24301;-0.85168;7.40741;-2.11887;0.30667;-0.23438
1999-11-01;0.53044;7.93925;-1.03211;11.73378;4.79118;-0.36191;0.18182;-1.24239;0.00000;-9.17237;0.22123;0.46985
1999-12-01;0.80374;4.09505;1.15875;3.61643;0.93243;3.98411;0.12099;-1.97246;3.44828;1.56290;0.24067;-0.38971
2000-01-01;-0.07378;1.15585;0.00000;0.14856;7.73444;1.70833;0.06042;2.64334;0.00000;4.70646;0.17434;0.39124
2000-02-01;0.33973;-0.48491;-1.94731;8.87740;1.87119;4.11054;0.36232;3.88666;-3.33333;1.69597;0.08473;1.16913
2000-03-01;0.38982;4.94552;5.14019;-1.04274;4.37391;-5.45333;0.18051;-2.81667;10.34483;-3.71782;0.36913;0.77042
2000-04-01;0.64120;-3.71261;-6.55556;-17.17830;-2.98182;-2.20248;0.12012;-0.64002;0.00000;19.56994;0.21200;-0.07645
2000-05-01;0.27383;-3.31032;1.90250;21.84624;6.20146;0.02230;0.35993;2.54997;-6.25000;-2.91203;0.16909;0.68860
2000-06-01;0.07532;3.97878;-7.46791;7.41893;5.58283;-1.93390;0.05977;-2.02639;-3.33333;-18.32612;-0.03482;1.67173
2000-07-01;-0.17396;1.13943;11.85372;-3.73572;0.42488;-1.59127;0.53763;1.96564;3.44828;-7.64624;0.12721;-0.07474
2000-08-01;-0.26776;0.37680;-4.39684;5.27748;5.96571;1.24163;0.23767;-0.12112;-10.00000;-9.07005;0.00227;-0.59835
2000-09-01;0.39753;-0.11012;7.54717;9.76509;0.77445;6.40580;0.11855;-1.15001;7.40741;8.83869;0.09529;1.35440
2000-10-01;-0.34798;-6.25054;2.30263;-6.58883;0.78904;-6.11129;0.05921;1.50262;10.34483;28.00000;-0.00378;0.51967
2000-11-01;0.02159;-1.86572;-5.68060;5.13991;-1.70538;-5.02455;0.11834;0.52255;-9.37500;4.69388;0.15187;-0.29542
2000-12-01;-0.34092;-3.88737;11.70455;-21.17294;3.55188;-2.47685;0.47281;2.93504;-3.44828;0.55962;0.12448;0.88889
2001-01-01;-0.49336;0.60777;-4.78128;-0.13817;-3.15001;8.81519;0.17647;3.97731;7.14286;-6.07576;-0.01432;2.79001
2001-02-01;-0.65165;-2.14051;2.88462;7.33264;3.51833;0.98572;0.52848;-0.37560;-6.66667;-6.04767;0.06556;-1.85714
2001-03-01;-0.26169;-9.52619;-2.49221;-10.93034;-0.59925;-3.24245;0.29206;4.53510;0.00000;21.72104;-0.02636;-1.09170
2001-04-01;-0.35507;0.05909;-3.19489;4.73469;4.36296;-2.17996;0.23296;1.86490;10.71429;-1.27319;-0.22297;0.36792
2001-05-01;-0.51979;7.55979;-2.64026;10.35382;-0.55326;0.02371;0.17432;-1.61813;3.22581;-18.44711;-0.03322;0.29326
2001-06-01;-0.54289;-2.20346;-0.33898;-1.64087;4.11869;3.48424;0.40603;0.47859;-6.25000;-8.73260;-0.08685;-0.95029
2001-07-01;-0.60345;-2.68364;-0.22676;-11.61767;0.22471;-5.73179;0.28885;1.75490;-13.33333;6.56964;-0.09297;-1.54982
