"","H","period","YEAR","QUARTER","ID","INDUSTRY","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","nbin_tot","openL","openR","n.b.mode","prob.mode","mode","mean","var","median"
"3981",1,0,1992,4,413,2,0,0,0,0,0.1,0.9,0,0,0,0,NA,0.2,0,0,1,0.9,1.5,1.6,0.173333333333333,1.55555555555556
"3982",1,0,1992,4,414,1,0,0,0,0,0.15,0.85,0,0,0,0,NA,0.2,0,0,1,0.85,1.5,1.65,0.210833333333334,1.58823529411765
"3983",1,0,1992,4,416,2,0,0,0,0,0.05,0.8,0.15,0,0,0,NA,0.3,0,0,1,0.8,1.5,1.4,0.273333333333333,1.4375
"3984",1,0,1992,4,418,1,0,0,0,0.15,0.2,0.45,0.2,0,0,0,NA,0.4,0,0,1,0.45,1.5,1.8,0.993333333333333,1.66666666666667
"3985",1,0,1992,4,420,1,0,0,0,0,0.3,0.6,0.1,0,0,0,NA,0.3,0,0,1,0.6,1.5,1.7,0.443333333333333,1.66666666666667
"3986",1,0,1992,4,421,1,0,0,0,0.05,0.45,0.45,0.05,0,0,0,NA,0.4,0,0,2,0.45,2,2,0.533333333333333,2
"3987",1,0,1992,4,422,1,0,0,0,0,0.2,0.7,0.1,0,0,0,NA,0.3,0,0,1,0.7,1.5,1.6,0.373333333333334,1.57142857142857
"3988",1,0,1992,4,423,2,0,0.0100005700324919,0.0760033321899348,0.152008664493876,0.217004369249047,0.225989881423241,0.170986746244536,0.0940043582484202,0.039001223069715,0.0150008550487378,NA,0.9,0,1,1,0.225989881423241,1.5,1.73803056774236,2.978790052724,1.80095098173708
"3989",1,0,1992,4,424,1,0,0,0,0.15,0.4,0.45,0,0,0,0,NA,0.3,0,0,1,0.45,1.5,2.2,0.593333333333332,2.125
"3990",1,0,1992,4,426,1,0,0,0,0,0.15,0.75,0.1,0,0,0,NA,0.3,0,0,1,0.75,1.5,1.55,0.330833333333333,1.53333333333333
"3991",1,0,1992,4,427,1,0,0,0,0,0.2,0.8,0,0,0,0,NA,0.2,0,0,1,0.8,1.5,1.7,0.243333333333333,1.625
"3992",1,0,1992,4,428,2,0,0,0,0,0.25,0.75,0,0,0,0,NA,0.2,0,0,1,0.75,1.5,1.75,0.270833333333333,1.66666666666667
"3994",1,0,1992,4,430,2,0,0,0,0,0.45,0.55,0,0,0,0,NA,0.2,0,0,1,0.55,1.5,1.95,0.330833333333333,1.90909090909091
"3995",1,0,1992,4,431,1,0,0,0,0,0,1,0,0,0,0,NA,0.1,0,0,1,1,1.5,1.5,0.0833333333333335,1.5
"3996",1,0,1992,4,432,1,0,0,0,0,0.15,0.85,0,0,0,0,NA,0.2,0,0,1,0.85,1.5,1.65,0.210833333333334,1.58823529411765
"3997",1,0,1992,4,433,2,0,0,0,0,0.05,0.95,0,0,0,0,NA,0.2,0,0,1,0.95,1.5,1.55,0.130833333333334,1.52631578947368
"3998",1,0,1992,4,434,1,0,0,0,0,0.05,0.95,0,0,0,0,NA,0.2,0,0,1,0.95,1.5,1.55,0.130833333333334,1.52631578947368
"3999",1,0,1992,4,435,2,0,0,0,0,0.15,0.85,0,0,0,0,NA,0.2,0,0,1,0.85,1.5,1.65,0.210833333333334,1.58823529411765
"4000",1,0,1992,4,437,1,0.01,0.02,0.03,0.04,0.35,0.45,0.04,0.03,0.02,0.01,NA,1,1,1,1,0.45,1.5,1.94,1.8364,1.88888888888889
"4001",1,0,1992,4,439,2,0,0,0,0,0.45,0.45,0.1,0,0,0,NA,0.3,0,0,2,0.45,2,1.85,0.510833333333333,1.88888888888889
"4002",1,0,1992,4,440,1,0,0,0,0,0.75,0.25,0,0,0,0,NA,0.2,0,0,1,0.75,2.5,2.25,0.270833333333333,2.33333333333333
"4003",1,0,1992,4,442,1,0,0,0,0,0.32798179128986,0.67201820871014,0,0,0,0,NA,0.2,0,0,1,0.67201820871014,1.5,1.82798179128986,0.303743069205488,1.74402745866022
"4004",1,0,1992,4,444,2,0,0,0,0,0.25,0.75,0,0,0,0,NA,0.2,0,0,1,0.75,1.5,1.75,0.270833333333333,1.66666666666667
"4005",1,0,1993,1,20,2,0,0,0,0.3,0.6,0.1,0,0,0,0,NA,0.3,0,0,1,0.6,2.5,2.7,0.443333333333335,2.66666666666667
"4006",1,0,1993,1,30,3,0,0,0,0,0.1,0.8,0.1,0,0,0,NA,0.3,0,0,1,0.8,1.5,1.5,0.283333333333332,1.5
"4007",1,0,1993,1,40,2,0,0,0.1,0.8,0.1,0,0,0,0,0,NA,0.3,0,0,1,0.8,3.5,3.5,0.28333333333333,3.5
"4008",1,0,1993,1,60,2,0,0,0.35,0.55,0.1,0,0,0,0,0,NA,0.3,0,0,1,0.55,3.5,3.75,0.470833333333331,3.72727272727273
"4009",1,0,1993,1,65,1,0,0,0.2,0.6,0.2,0,0,0,0,0,NA,0.3,0,0,1,0.6,3.5,3.5,0.483333333333334,3.5
"4010",1,0,1993,1,94,1,0,0,0.2,0.45,0.2,0.1,0.05,0,0,0,NA,0.5,0,0,1,0.45,3.5,3.15,1.21083333333333,3.33333333333333
"4011",1,0,1993,1,99,1,0,0,0.05,0.75,0.12,0.05,0.03,0,0,0,NA,0.5,0,0,1,0.75,3.5,3.24,0.65573333333333,3.4
"4012",1,0,1993,1,404,2,0,0,0.15,0.5,0.3,0.05,0,0,0,0,NA,0.4,0,0,1,0.5,3.5,3.25,0.670833333333334,3.3
"4013",1,0,1993,1,407,1,0,0,0.05,0.45,0.45,0.05,0,0,0,0,NA,0.4,0,0,2,0.45,3,3,0.533333333333335,3
"4014",1,0,1993,1,411,2,0,0,0.15,0.45,0.25,0.1,0.05,0,0,0,NA,0.5,0,0,1,0.45,3.5,3.05,1.13083333333334,3.22222222222222
"4015",1,0,1993,1,414,1,0,0,0.05,0.45,0.45,0.05,0,0,0,0,NA,0.4,0,0,2,0.45,3,3,0.533333333333335,3
"4016",1,0,1993,1,416,2,0,0,0,0.15,0.6,0.1,0.1,0.05,0,0,NA,0.5,0,0,1,0.6,2.5,2.2,1.09333333333333,2.41666666666667
"4017",1,0,1993,1,417,3,0,0.02,0.08,0.1,0.7,0.05,0.03,0.02,0,0,NA,0.7,0,0,1,0.7,2.5,2.65,1.01083333333333,2.57142857142857
"4018",1,0,1993,1,418,1,0,0,0.1,0.45,0.45,0,0,0,0,0,NA,0.3,0,0,2,0.45,3,3.15,0.510833333333334,3.11111111111111
"4019",1,0,1993,1,420,1,0,0,0.05,0.4,0.5,0.05,0,0,0,0,NA,0.4,0,0,1,0.5,2.5,2.95,0.530833333333334,2.9
"4020",1,0,1993,1,421,1,0,0,0.15,0.55,0.25,0.05,0,0,0,0,NA,0.4,0,0,1,0.55,3.5,3.3,0.643333333333333,3.36363636363636
